id_indicator,id_parent_indicator,slug,name,id_dimension,id_granularity,explanation,potential_use,assumptions,desired_value,function_name,formalization_latex,formalization_fp,description_fp
124,,expected-role-count-g-g,Expected Role count,3,3,Expected number of human resource roles that are involved in the execution of a case belonging to a group of cases.,Calculation of several other PPIs.,,,\(\mathit{e\mathit{Role(g)\),\(\frac{\sum _{c \in g} \mathit{Role(c)}{\mathit{C(g)}\),\(\frac{\sum_{c \in \mathit{cases(g)} \mathit{Role(c)}{\mathit{C(g)}\),"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{Role(c)$ returns the role count of case $c$.
\newline$\mathit{C(g)$ returns the case count of group of cases $g$. \\"
125,,expected-service-and-lead-time-ratio-t-g,Expected Service and Lead Time Ratio,5,3,Expected ratio between the service time and the lead time of a case belonging to a group of cases.,Event log in which the difference between service time and lead time is of relevance.,Ratio between service time and lead time should be as large as possible.,maximize,\(\mathit{e\mathit{SLTR(g)\),\(\frac{\mathit{ST(g)}{\sum _{c \in g} \mathit{LT(c)}\),\(\frac{\mathit{ST(g)}{\sum _{c \in g} \mathit{LT(c)}\),"\(\mathit{ST(g)\) returns the total service time accumulated across all cases in group \(g\).
\newline \(\mathit{LT(c)\) returns the total lead time of case \(c\). \\"
126,,expected-service-time-t-g,Expected Service Time,5,3,Expected sum of elapsed time between the start and complete events of all activity instances of a case belonging to a group of cases.,Event log that contains lifecycle information for activity instances where the actual time spent executing them is of interest.,Minimizing service time is desirable.,minimize,\(\mathit{e\mathit{ST(g)\),\(\frac{\mathit{ST(g)}{\mathit{C(g)}\),\(\frac{\mathit{ST(g)}{\mathit{C(g)}\),"\(\mathit{ST(g)\) returns the total service time accumulated across all cases in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
127,,expected-service-time-from-activity-a-to-activity-b-t-g,Expected Service Time from activity A to activity B,5,3,"Expected sum of elapsed time between the start and complete events of all activity instances of a case belonging to a group of cases, which occur between the earliest instantiation of a specific activity, and the earliest instantiation of another specific activity that occurs after the former one, including both.",Event log is associated with a process in which the actual time spent executing a specific subprocess is of relevance.,Minimizing service time is desirable.,minimize,"\(\mathit{e\mathit{STAB\mathit{^{\times(g, \mathit{a, \mathit{b)\)
\newline \newline \(\mathit{\times \in \{\mathit{s, \mathit{c, \mathit{sc, \mathit{w\}\)","\(\frac{\mathit{STAB\mathit{^{\times(g, \mathit{a, \mathit{b)}{|\{c \in g \mid \mathit{fi\mathit{^{sc(c, \mathit{a, \mathit{b) \neq \emptyset\}|}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{s, \mathit{c, \mathit{sc, \mathit{w\}$. If $\mathit{\times = \mathit{s$, then the function considers activity instances that were started within the start and end activity instances, i.e., it uses $\mathit{STAB\mathit{^{s$; if $\mathit{\times = \mathit{c$, then the function considers activity instances that were completed within the start and end activity instances, i.e., it uses $\mathit{STAB\mathit{^{c$; if $\mathit{\times = \mathit{sc$, then the function considers activity instances that were either started or completed within the start and end activity instances, i.e., it uses $\mathit{STAB\mathit{^{sc$; if $\mathit{\times = \mathit{^{w$, then the function considers all activity instances that were active within the start and end activity instances, i.e., it uses $\mathit{STAB\mathit{^{w$.","\(\frac{\mathit{STAB(g, \mathit{a, \mathit{b)}{|\{c \in g \mid \mathit{fi(c, \mathit{a, \mathit{b) \neq \emptyset\}|}\)","\(\mathit{STAB\) returns the total service time from activity \(\mathit{a\) to activity \(\mathit{b\) accumulated across all cases in group \(g\).
\newline \(\mathit{fi\) returns the set of first instances of activity \(\mathit{b\) that occur after the first instance of \(\mathit{a\) in case \(c\). \\"
128,,expected-successful-outcome-unit-count-q-g,Expected Successful outcome Unit Count,4,3,"Expected outcome units associated with all activity instances in a case belonging to a group of cases, after deducting those that were unsuccessfully completed.","Process where the outcome of activity instances, as well as whether they are successful or not, can be measured.",Maximizing the number of successful outcome units is desirable.,maximize,"\(\mathit{e\mathit{SUC\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{SUC\mathit{^{\times(g)}{\mathit{C(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC\mathit{^{sum$.",\(\frac{\mathit{SUC(g)}{\mathit{C(g)}\),"\(\mathit{SUC(g)\) returns the total successful outcome unit count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
129,,expected-successful-outcome-unit-percentage-q-g,Expected Successful outcome Unit Percentage,4,3,Expected percentage of outcome units associated with all activity instances of a case belonging to a group of cases that are successfully completed.,"Process where the outcome of activity instances, as well as whether they are successful or not, can be measured.",Maximizing the percentage of successful outcome units is desirable.,maximize,"\(\mathit{e\mathit{SUP\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\sum _{c \in g} \mathit{SUP\mathit{^{\times(c)}{\mathit{C(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUP\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUP\mathit{^{sum$.",\(\frac{\sum _{c \in g} \mathit{SUP(c)}{\mathit{C(g)}\),"\(\mathit{SUP(c)\) returns the successful outcome unit percentage of case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
130,,expected-total-cost-c-g,Expected Total Cost,1,3,Expected total cost associated with all activity instances of a case belonging to a group of cases.,Event log in which total cost information is recorded.,Minimizing total cost is desirable.,minimize,"\(\mathit{e\mathit{TC\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{TC\mathit{^{\times(g)}{\mathit{C(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{TC(g)}{\mathit{C(g)}\),"\(\mathit{TC(g)\) returns the total cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
131,,expected-total-cost-and-client-count-ratio-q-g,Expected Total Cost and Client count Ratio,4,3,"Ratio between the total cost associated with all activity instances of a group of cases, and the number of distinct clients associated with cases in a group of cases.","Process is executed for different clients, where the event log contains cost information.",It is desirable to execute the process for as many clients at the least cost.,minimize,"\(\mathit{e\mathit{TCCliR\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{TC\mathit{^{\times(g)}{\mathit{Cli(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{TC(g)}{\mathit{Cli(g)}\),"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{Cli(g)\) returns the number of distinct clients associated with group \(g\). \\"
132,,expected-total-cost-and-lead-time-ratio-c-g,Expected Total Cost and Lead Time Ratio,1,3,Ratio between the expected total cost of a case belonging to a group of cases and the expected lead time of a case belonging to a group of cases.,Event log in which the total cost in relation to the total time taken for conducting cases is of relevance.,Ratio between total cost and lead time should be as close to 0 as possible.,minimize,"\(\mathit{e\mathit{TCLTR\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{TC\mathit{^{\times(g)}{\sum _{c \in g} \mathit{LT(c)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{TC(g)}{\sum _{c \in g} \mathit{LT(c)}\),"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{LT(c)\) returns the total lead time of case \(c\). \\"
133,,expected-total-cost-and-outcome-unit-ratio-c-g,Expected Total Cost and outcome Unit Ratio,1,3,"Ratio between the expected total cost of a case belonging to a group of cases, and the expected outcome units associated with all activity instances of a case belonging to a group of cases.",Event log in which the total cost in relation to the outcome units of cases is of relevance.,Ratio between total cost and outcome unit count should be as close to 0 as possible.,minimize,"\(\mathit{e\mathit{TCUR\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{TC\mathit{^{\times(g)}{\mathit{U\mathit{^{\times(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$ and $\mathit{U\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC\mathit{^{sum$ and $\mathit{U\mathit{^{sum$.",\(\frac{\mathit{TC(g)}{\mathit{U(g)}\),"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{U(g)\) returns the total outcome unit count of case group \(g\). \\"
134,,expected-total-cost-and-service-time-ratio-c-g,Expected Total Cost and Service Time Ratio,1,3,"Ratio between the expected total cost of a case belonging to a group of cases, and the expected service time of a case belonging to a group of cases.",Event log in which the total cost in relation to the time taken for conducting activity instances is of relevance.,Ratio between total cost and service time should be as close to 0 as possible.,minimize,"\(\mathit{e\mathit{TCSTR\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{TC\mathit{^{\times(g)}{\mathit{ST(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{TC(g)}{\mathit{ST(g)}\),"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{ST(g)\) returns the total service time of case group \(g\). \\"
135,,expected-transportation-cost-c-g,Expected Transportation Cost,1,3,Expected transportation cost of a case belonging to a group of cases.,Process where the cost of transportation is relevant.,Minimizing transportation cost is desirable.,minimize,\(\mathit{e\mathit{TransC(g)\),\(\frac{\mathit{TransC(g)}{\mathit{C(g)}\),\(\frac{\mathit{TransC(g)}{\mathit{C(g)}\),"\(\mathit{TransC(g)\) returns the total transportation cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
136,,expected-unwanted-activity-count-q-g,Expected Unwanted Activity count,4,3,Expected number of unwanted activities that occur in a case belonging to a group of cases.,Event log that contains activities whose execution is unwanted.,Unwanted activities negatively affect the quality of the process.,minimize,\(\mathit{UAC(g)\),\(\frac{\sum _{c \in g} \mathit{UAC(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in g} \mathit{UAC(c)}{\mathit{C(g)}\),"\(\mathit{UAC(c)\) returns the unwanted activity count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
137,,expected-unwanted-activity-instance-count-q-g,Expected Unwanted activity Instance count,4,3,Expected number of times that an unwanted activity is instantiated in a case belonging to a group of cases.,Event log that contains activities whose execution is unwanted.,Unwanted activities negatively affect the quality of the process.,minimize,\(\mathit{e\mathit{UIC(g)\),\(\frac{\mathit{UIC(g)}{\mathit{C(g)}\),\(\frac{\mathit{UIC(g)}{\mathit{C(g)}\),"\(\mathit{UIC(g)\) returns the total unwanted activity instance count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
138,,expected-unwanted-activity-instance-percentage-q-g,Expected Unwanted activity Instance Percentage,4,3,Expected percentage of times that an unwanted activity is instantiated in a case belonging to a group of cases.,Event log that contains activities whose execution is unwanted.,Unwanted activities negatively affect the quality of the process.,minimize,\(\mathit{e\mathit{UIP(g)\),\(\frac{\sum _{c \in g} \mathit{UIP(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in g} \mathit{UIP(c)}{\mathit{C(g)}\),"\(\mathit{UIP(c)\) returns the unwanted activity instance percentage for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
